Type,Force,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./hampshire.csv,Ream of 500 sheets of white paper,1.59,200.0,2015-11-16,Volume indicated is maximum volume purchased at a time.
Services,./hampshire.csv,Telephone interpreting inc. recording services (per minute),0.45,,2015-11-25,Volume information not provided.
Services,./hampshire.csv,Face-to-face interpreting for 4 hours (half-day),600.00,,2015-11-18,"Jobs are subject to quotation on a case-by-case basis, as the company has to find suitable individuals who have the necessary skills and can attend various sites, as and when requested. Information on volumes not provided."
Services,./hampshire.csv,Standard office cleaning (force average per m2 per year),,,2015-12-12,"Contractual arrangements for cleaning services vary across the estate. An average cost cannot be given as it would likely be misleading given the differences in quality and frequency of services provided. In addition, the contract covers specialist cleaning including forensic and custody areas of the Constabulary, where cleaning is more complex, thorough and frequent than anywhere else. The cleaning requirements for each area are looked at separately rather than as a whole."
Services,./hampshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0287,,2015-11-25,Information on volumes not provided.
Services,./hampshire.csv,Laptop purchase,470.25,1.0,2015-11-20,These purchases are made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,./hampshire.csv,Desktop purchase,470.25,1.0,2015-11-20,Purchases made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,./hampshire.csv,"PC monitor - 19"" or smaller (inc. cables)",125.00,1.0,2015-11-20,Purchases made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,./hampshire.csv,"PC monitor - 21"" or wider (inc. cables)",130.00,1.0,2015-11-20,Purchases are made by Thames Valley Police on behalf of Hampshire Constabulary. Information on volumes not provided.
Services,./hampshire.csv,Telephone call charges (per minute),,,2015-11-20,The force does not purchase this service.
Services,./hertfordshire.csv,DNA test,14.50,399.0,2016-02-23,"This item is purchased on behalf of all three forces (Bedfordshire, Cambridgeshire and Hertfordshire)."
Services,./hertfordshire.csv,Toxicology test,28.00,300.0,2016-02-26,"Purchases are made jointly on behalf of Bedfordshire, Cambridgeshire and Hertfordshire by a single department."
Services,./hertfordshire.csv,Mobile phone examination,,,,Service provided in-house by the Hi-tech crime unit. In extreme cases the force requires specialist work from an external supplier at £250 or £650 per unit. The former was most recently purchased for 3 phones on 08 February 2016.
Services,./hertfordshire.csv,Forensic stain analysis,65.00,3.0,2016-02-22,
Services,./hertfordshire.csv,Credit report or search,1.10,1403.0,2015-11-30,Service paid for in advance.
Services,./hertfordshire.csv,Temporary staff administrator role,11.74,37.0,2016-01-22,Hourly rate includes agency fee and statutory charges.
Services,./hertfordshire.csv,one-day car hire,19.49,1.0,2015-12-03,
Services,./hertfordshire.csv,30-day car hire,,,,There is no record of a 30-day vehicle hire agreement.
Services,./hertfordshire.csv,Ream of 500 sheets of white paper,1.87,50.0,2016-04-02,Volume information based on 10 boxes of 5 reams last bought.
Services,./hertfordshire.csv,Telephone interpreting inc. recording services (per minute),0.68,8.0,2016-01-31,
Services,./hertfordshire.csv,Face-to-face interpreting for 4 hours (half-day),120.00,4.0,2016-01-31,
Services,./hertfordshire.csv,Standard office cleaning (force average per m2 per year),15.45,,2015-04-01,Cost is per m2 per annum.
Services,./hertfordshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0189,6425.0,2016-02-09,
Services,./hertfordshire.csv,Laptop purchase,756.00,3.0,2016-01-28,
Services,./hertfordshire.csv,Desktop purchase,316.23,31.0,2016-01-29,HP Elite Desk 705
Services,./hertfordshire.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,
Services,./hertfordshire.csv,"PC monitor - 21"" or wider (inc. cables)",125.00,1.0,2016-01-22,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 23""."
Services,./hertfordshire.csv,Telephone call charges (per minute),0.0085,,,"There are no peak and off peak rates - just a flat rate; usage is small, as the force predominately uses VOIP."
Services,./bedfordshire.csv,DNA test,14.50,399.0,2016-02-23,
Services,./bedfordshire.csv,Toxicology test,28.00,300.0,2016-02-26,"Purchases are made jointly on behalf of Bedfordshire, Cambridgeshire and Hertfordshire by a single department."
Services,./bedfordshire.csv,Mobile phone examination,,,,All mobile phone extraction undertaken in-house and therefore the force does not pay any additional costs to suppliers for this type of work.
Services,./bedfordshire.csv,Forensic stain analysis,65.00,3.0,2016-02-22,"Bedfordshire, Cambridgeshire and Hertfordshire Forensics is a collaborative unit led by Hertfordshire Police."
Services,./bedfordshire.csv,Credit report or search,1.10,500.0,2015-10-31,
Services,./bedfordshire.csv,Temporary staff administrator role,11.37,35.0,2016-02-05,
Services,./bedfordshire.csv,one-day car hire,19.49,1.0,2015-11-25,
Services,./bedfordshire.csv,30-day car hire,11.25,28.0,2015-11-05,There is no record of a 30-day vehicle hire agreement.
Services,./bedfordshire.csv,Ream of 500 sheets of white paper,2.03,1000.0,2016-10-08,Volume information based on 200 boxes of 5 reams. 80GSM.
Services,./bedfordshire.csv,Telephone interpreting inc. recording services (per minute),0.68,36.0,2016-01-26,
Services,./bedfordshire.csv,Face-to-face interpreting for 4 hours (half-day),120.00,4.0,2016-01-29,Rate provided is based on a minimum 2-hour peak booking at £60.00 per hour.
Services,./bedfordshire.csv,Standard office cleaning (force average per m2 per year),13.00,,2015-04-01,Charge is per m2 per annum.
Services,./bedfordshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0166,516.0,2016-02-09,
Services,./bedfordshire.csv,Laptop purchase,756.00,3.0,2016-02-28,"20DKA00200 LENOVO THINKPAD S1 YOGA 12, INTEL 15-5200U (12.5 SWIVEL)"
Services,./bedfordshire.csv,Desktop purchase,316.00,31.0,2016-01-29,
Services,./bedfordshire.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,
Services,./bedfordshire.csv,"PC monitor - 21"" or wider (inc. cables)",125.00,1.0,2016-01-22,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 23""."
Services,./bedfordshire.csv,Telephone call charges (per minute),0.0085,,,"There are no peak and off peak rates - just a flat rate; usage is small, as the force predominately uses VOIP."
Services,./cleveland.csv,DNA test,17.00,483.0,2016-01-31,Police and Criminal Evidence Act DNA test
Services,./cleveland.csv,Toxicology test,29.90,7.0,2016-01-31,Drink driving toxicology test.
Services,./cleveland.csv,Mobile phone examination,,,,"In-house provision - service not procured externally. The force may outsource in some cases, however not as an equivalent item to the standard code for comparison."
Services,./cleveland.csv,Forensic stain analysis,99.00,21.0,2016-01-31,Serious Organised Crime DNA test.
Services,./cleveland.csv,Credit report or search,,,,"The force does not currently pay for credit card checks, with costs subsumed into strategic contract service provision. The provider uses a service not charged back to the force."
Services,./cleveland.csv,Temporary staff administrator role,9.46,666.0,2015-04-10,"£350 for 37 hours per week, for 9 weeks. Legal assistant post."
Services,./cleveland.csv,one-day car hire,18.00,1.0,2016-02-08,
Services,./cleveland.csv,30-day car hire,13.85,31.0,2016-01-13,
Services,./cleveland.csv,Ream of 500 sheets of white paper,2.03,100.0,2016-02-11,Purchase in boxes of 5 reams (20 boxes purchased).
Services,./cleveland.csv,Telephone interpreting inc. recording services (per minute),0.68,1335.0,2016-02-08,
Services,./cleveland.csv,Face-to-face interpreting for 4 hours (half-day),112.00,150.25,2016-01-19,"Joint collaboration with Northumbria, Cleveland and Durham forces."
Services,./cleveland.csv,Standard office cleaning (force average per m2 per year),10.98,19774.0,2016-02-17,
Services,./cleveland.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.027,417685.0,2016-01-31,
Services,./cleveland.csv,Laptop purchase,375.00,26.0,2015-01-20,HP 455 BG AMD A6 Pro 7050B
Services,./cleveland.csv,Desktop purchase,325.00,2.0,2015-08-20,HP Elite desk 705 G1 small form factor PC.
Services,./cleveland.csv,"PC monitor - 19"" or smaller (inc. cables)",104.00,20.0,2016-01-06,Square aspect; adjustable height.
Services,./cleveland.csv,"PC monitor - 21"" or wider (inc. cables)",,,,The force does not purchase monitors of this size.
Services,./cleveland.csv,Telephone call charges (per minute),0.005,413580.0,2015-04-01,Contract was put in place in 2015 and the volume is based on anticipated annual volume from previous years.
Services,./merseyside.csv,DNA test,17.00,1.0,2016-01-15,Single item purchase.
Services,./merseyside.csv,Toxicology test,28.15,1.0,2016-01-28,Single item purchase.
Services,./merseyside.csv,Mobile phone examination,,,,In-house service provision.
Services,./merseyside.csv,Forensic stain analysis,110.00,1.0,2016-02-12,Single item purchase.
Services,./merseyside.csv,Credit report or search,1.10,4284.0,2015-10-01,Information provided for annual volume.
Services,./merseyside.csv,Temporary staff administrator role,10.72,467.0,2016-01-12,"Staff administrator hourly rate based on Grade AA, evaluation scale."
Services,./merseyside.csv,one-day car hire,18.00,2.0,2016-02-01,
Services,./merseyside.csv,30-day car hire,11.55,46.0,2016-02-12,
Services,./merseyside.csv,Ream of 500 sheets of white paper,2.50,25.0,2016-02-05,
Services,./merseyside.csv,Telephone interpreting inc. recording services (per minute),0.66,15.0,2016-01-01,
Services,./merseyside.csv,Face-to-face interpreting for 4 hours (half-day),124.00,6.25,2016-01-22,The force purchases this service at the rate of £0.5167 per minute and pricing information provided is calculated for 240 minutes. Volume provided estimated on a total purchase of 375 minutes.
Services,./merseyside.csv,Standard office cleaning (force average per m2 per year),,,,Service provided in-house.
Services,./merseyside.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0168,394706.0,2016-02-11,Information on volumes based on consumption for the period 01/01/2016 - 01/02/2016. Gas is procured for the force via the Crown Commercial Service who go out to the open market and buy tranches of gas throughout a 6-month time period. The 1.676p rate covers the period 01/10/2015 - 30/09/2016.
Services,./merseyside.csv,Laptop purchase,,,,No information provided. In addition to replacing aged desktop machines the force has commenced a roll-out of portable hand held devices in the last 12 months.
Services,./merseyside.csv,Desktop purchase,377.50,1000.0,2016-10-06,Model: Dell OptiPlex 7020SFF
Services,./merseyside.csv,"PC monitor - 19"" or smaller (inc. cables)",101.76,1.0,2016-02-14,"Local arrangement for the purchase of monitors - Model: Dell P1914S Professional monitor, adjustable height."
Services,./merseyside.csv,"PC monitor - 21"" or wider (inc. cables)",103.35,6.0,2016-02-10,"Local arrangement for the purchase of monitors. Model: Dell P2214H Professional monitor, adjustable height. The force does not purchase monitors of this size, but 22""."
Services,./merseyside.csv,Telephone call charges (per minute),0.0055,,2015-12-31,Consolidated invoice. As the force has devolved budgets there are individual devolved bills submitted. Total quantity / consumption cannot be itemised or distinguished.
Services,./dorset.csv,DNA test,17.00,2664.0,2016-02-16,
Services,./dorset.csv,Toxicology test,35.00,146.0,2016-02-22,
Services,./dorset.csv,Mobile phone examination,,,,Service provided in-house.
Services,./dorset.csv,Forensic stain analysis,87.30,1.0,2016-02-18,
Services,./dorset.csv,Credit report or search,1.10,1.0,2016-02-22,
Services,./dorset.csv,Temporary staff administrator role,12.82,720.0,2016-02-18,
Services,./dorset.csv,one-day car hire,19.79,1.0,2016-02-09,Rate excludes £2.50 collection / delivery charge each way.
Services,./dorset.csv,30-day car hire,12.25,88.0,2015-11-26,
Services,./dorset.csv,Ream of 500 sheets of white paper,1.93,20.0,2016-01-27,"Budget copier caper, 75g A4 white. A new national mini competition has just been competed for office supplies under the Crown Commercial Service framework RM3703, and the force will be moving to this contract in June 2016."
Services,./dorset.csv,Telephone interpreting inc. recording services (per minute),0.68,35.0,2016-02-16,
Services,./dorset.csv,Face-to-face interpreting for 4 hours (half-day),120.00,4.0,2016-02-12,
Services,./dorset.csv,Standard office cleaning (force average per m2 per year),13.00,33134.0,2015-04-01,"Price provided per m2 per annum, or £0.05 per m2 per day."
Services,./dorset.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0191,1460576.0,2016-01-01,Information on volumes based on annual consumption.
Services,./dorset.csv,Laptop purchase,667.37,10.0,2016-02-18,Standard specifications HP Elitebook 840 G2.
Services,./dorset.csv,Desktop purchase,313.99,50.0,2015-10-16,Medium specifications Viglen Genie Slim
Services,./dorset.csv,"PC monitor - 19"" or smaller (inc. cables)",67.00,40.0,2015-10-16,
Services,./dorset.csv,"PC monitor - 21"" or wider (inc. cables)",75.00,50.0,2015-10-16,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 24""."
Services,./dorset.csv,Telephone call charges (per minute),0.0049,1469000.0,2016-01-01,Annual volume.
Services,./warwickshire.csv,DNA test,19.16,103.0,2016-02-18,The Region is using the National Forensics Framework which has different specifications and price points for the item. This item is Police and Criminal Evidence Act DNA test 07BF (price point A1) which is the most appropriate comparator. Pricing is dictated by tender volumes not by order. The Regional tender was awarded according to Home Office requirements on percentage split across region with different forces taking different suppliers and therefore different prices. A new national forensic contract starts on 01 March 2016 for the whole region.
Services,./warwickshire.csv,Toxicology test,26.92,4.0,2016-02-26,Information provided for toxicology test code 01 TOX A1 under the National Forensics Framework. The force is re-tendering under the framework.
Services,./warwickshire.csv,Mobile phone examination,225.00,16.0,,Price quoted is for Mobile Phone Full analysis + SIM Card. Pricing varies according to individual submission composition. The joint Warwickshire-West Mercia framework has been awarded to two suppliers because of demand and turn-around time requirements and so pricing also varies between suppliers.
Services,./warwickshire.csv,Forensic stain analysis,106.70,13.0,2016-02-26,The Region is using the National Forensics Framework which has different specifications and price points. Information provided for described item code 01BF which includes both codes 20BF and 22BF under the National Forensics Framework specifications. Pricing is dictated by regional volumes not by individual force orders. The regional tender was awarded to Home Office requirements on percentage split across the region with different forces taking different suppliers and therefore different prices. New contract starting in March 2016.
Services,./warwickshire.csv,Credit report or search,1.00,27.0,2016-01-31,"Price quoted is for trace Name and Date of Birth report. Costs vary with types of reports used, ranging from £0.50 to £10.00."
Services,./warwickshire.csv,Temporary staff administrator role,12.59,36.5,2016-01-15,Hourly cost reflects relationship to force salary scales as well as supplier's margin.
Services,./warwickshire.csv,one-day car hire,19.00,2.0,2016-02-10,"Information provided for Fiesta/Astra sized vehicle (M2 hire code) which is Alliance basic standard vehicle. Orders are raised on a monthly basis to alliance provider on estimated order value. Pricing determined at tender, not by order."
Services,./warwickshire.csv,30-day car hire,11.75,392.0,2016-02-10,Information provided includes rate quoted for 5-door manual Fiesta/Astra sized vehicle which is Alliance basic standard vehicle. 14 cars hired for 28 days (standard billing period).
Services,./warwickshire.csv,Ream of 500 sheets of white paper,2.30,50.0,2016-02-29,£11.50 is the unit price per box of 5 reams of paper. The force orders for local delivery direct from the stationery supplier.
Services,./warwickshire.csv,Telephone interpreting inc. recording services (per minute),0.80,1819.0,2016-01-31,"Consolidated orders raised for estimated purchases over elapsed time, not for individual purchases. Rate not order dependent. The force is awaiting the outcome of current framework exercises to inform future strategy."
Services,./warwickshire.csv,Face-to-face interpreting for 4 hours (half-day),135.32,2.0,2016-02-02,Information on volumes based on the latest purchase. Only an hourly rate is charged. The force alliance uses National local translators from the Register of Public Service Interpreters. Payments are made against individual claims. The representative weekday rate quoted is £33.83 per hour - entry is therefore 2hrs for £67.66. The force is awaiting the outcome of new procurement framework to inform its future strategy.
Services,./warwickshire.csv,Standard office cleaning (force average per m2 per year),8.60,41313.0,,"Cleaning cost per m2 is dependent on building design, floor surface, percentages and total cleaned area. Facilities Management services for the force are managed and provided through Place Partnership Ltd, a local authority joint venture company who are the contracting body. They have provided comparator information from the National Police Estates Group benchmarking survey which quotes Qualifying Cost (GIA) per m2."
Services,./warwickshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.019,213764.0,2016-01-11,"Facilities Management services for the force are managed and provided through Place Partnership Ltd, a local authority joint venture company who are the contracting body. They use Crown Commercial Service frameworks for the provision of energy services to the force."
Services,./warwickshire.csv,Laptop purchase,733.00,11.0,2015-12-21,"Force alliance standard specifications laptop except RAM and warranty - 4GB RAM, 3 yr warranty. Joint ICT department purchase for both West Mercia and Warwickshire Police. The most recent purchases have been made under West Mercia orders."
Services,./warwickshire.csv,Desktop purchase,,,,Desktops not purchased for Warwickshire recently. Joint ICT department purchase for West Mercia and Warwickshire – most recent purchases have been under West Mercia orders.
Services,./warwickshire.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,The force does not purchase monitors of this size.
Services,./warwickshire.csv,"PC monitor - 21"" or wider (inc. cables)",,,,No recent purchases for Warwickshire. Joint ICT department purchase for West Mercia and Warwickshire – most recent purchases have been under West Mercia orders.
Services,./warwickshire.csv,Telephone call charges (per minute),,,,Warwickshire Police uses Internet Protocol based telephony and its agreement will shortly be replaced under a joint contract with West Mercia Police on a single network.
Services,./cambridgeshire.csv,DNA test,14.50,399.0,2016-02-23,
Services,./cambridgeshire.csv,Toxicology test,28.00,300.0,2016-02-26,"Purchases are made jointly on behalf of Bedfordshire, Cambridgeshire and Hertfordshire by a single department."
Services,./cambridgeshire.csv,Mobile phone examination,,,,All mobile phone extractions are undertaken in-house.
Services,./cambridgeshire.csv,Forensic stain analysis,65.00,3.0,2016-02-22,"Price for item code DNA 22BF is £85.00. Bedfordshire, Cambridgeshire and Hertfordshire Forensics is a collaborative unit led by Hertfordshire Police."
Services,./cambridgeshire.csv,Credit report or search,1.10,1.0,2015-10-29,
Services,./cambridgeshire.csv,Temporary staff administrator role,10.81,22.5,2016-02-05,
Services,./cambridgeshire.csv,one-day car hire,,,,The force has never had the need to hire a compact car for 1 day as they can always meet such a requirement from within the existing fleet.
Services,./cambridgeshire.csv,30-day car hire,,,,The force has never had the need to hire a compact car for 30 days as they can always meet such a requirement from within the existing fleet.
Services,./cambridgeshire.csv,Ream of 500 sheets of white paper,1.87,50.0,2016-04-01,Volume information based on 10 boxes of 5 reams last bought.
Services,./cambridgeshire.csv,Telephone interpreting inc. recording services (per minute),0.68,44.0,2015-12-29,
Services,./cambridgeshire.csv,Face-to-face interpreting for 4 hours (half-day),120.00,4.0,2016-01-27,The force's internal interpretation manager sources own translators and completes the vetting process.
Services,./cambridgeshire.csv,Standard office cleaning (force average per m2 per year),15.00,,2015-04-01,Annual charge per m2 for each property.
Services,./cambridgeshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0166,177.0,2016-02-09,
Services,./cambridgeshire.csv,Laptop purchase,756.00,1.0,2016-02-08,Lenovo ThinkPad S1 Yoga 12 Intel15-5200U
Services,./cambridgeshire.csv,Desktop purchase,315.79,28.0,2012-03-23,Not bought for some time. Last purchase: HP Compaq 6005 Pro SFF PC Windows 7 Professional 64-bit
Services,./cambridgeshire.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,
Services,./cambridgeshire.csv,"PC monitor - 21"" or wider (inc. cables)",125.00,1.0,2016-02-01,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 23""."
Services,./cambridgeshire.csv,Telephone call charges (per minute),,,,VOIP based calls only in the force since 2011.
Services,./city-of-london.csv,DNA test,,,,The force is not on the same framework as many other forces and does not use anything similar to the item available under their framework as it does not suit the local crime type.
Services,./city-of-london.csv,Toxicology test,45.00,,,"The force is not on the same framework as other forces and does not use the item code 20TOXA1. The service used by the force supplies test and a full evidential package, although no discounts are given for higher volumes."
Services,./city-of-london.csv,Mobile phone examination,,,,This service is provided in-house. The force undertakes does not contract out as the service is undertaken by frontline officers using triage equipment generally in the first custody detention period. The rough cost of a triage equipment device is between £15 and £20.
Services,./city-of-london.csv,Forensic stain analysis,125.00,,,"The force does not use the described item code 22BF/B1/1 for comparison. All analyses are completed and procured on a case by case basis, depending upon the requirements. Suppliers previously used for the described item code both quoted different prices."
Services,./city-of-london.csv,Credit report or search,4.25,1.0,2016-01-31,"The new framework service that the force entered into does not work on individual prices for a specific type of transactions. Service costs for the whole year are based upon the number of search transactions that the force would have carried out in the previous year under the framework. This amounts to a forecasted figure of 16,428 enquiry transactions which are priced at £4.25 per enquiry. The force is allowed up to 10% more than the forecasted number of transactions free of charge but beyond the 10% level the cost is again £4.25 per transaction. Each Operational Unit that uses credit checks sets up a separate rolling Purchase Order based on previous usage and then renews once this has run out."
Services,./city-of-london.csv,Temporary staff administrator role,14.64,40.0,2016-02-26,Hourly rate provided for minimum temp admin pay rate. Maximum hourly rate: £17.44.
Services,./city-of-london.csv,one-day car hire,24.79,1.0,2015-11-03,Rate includes £2.50 collection / delivery charge each way.
Services,./city-of-london.csv,30-day car hire,12.55,57.0,2015-03-27,Period of hire was 30/01/15 - 27/03/15.
Services,./city-of-london.csv,Ream of 500 sheets of white paper,2.31,75.0,2016-02-15,Volume provided equals 15 boxes of 5 reams.
Services,./city-of-london.csv,Telephone interpreting inc. recording services (per minute),0.78,1.0,2016-01-31,Information on volumes not provided.
Services,./city-of-london.csv,Face-to-face interpreting for 4 hours (half-day),137.04,4.0,2016-10-26,Unit price provided for 4 hours as requested; £213.78 if including VAT and travel time costs.
Services,./city-of-london.csv,Standard office cleaning (force average per m2 per year),13.50,22646.0,2015-12-01,"Average cost per m2 per year was calculated on the basis of various rates applied across the force's estate. Total surface charged is approximately 22,646m2. This service is provided through a contract of the City of London Corporation."
Services,./city-of-london.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",,,,"Details not available as contract is with the Corporation of London, with Kent County Council."
Services,./city-of-london.csv,Laptop purchase,442.00,2.0,2015-09-09,
Services,./city-of-london.csv,Desktop purchase,290.00,5.0,2016-01-07,
Services,./city-of-london.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,None purchased by the force in the most recent hardware refresh.
Services,./city-of-london.csv,"PC monitor - 21"" or wider (inc. cables)",83.00,23.0,2015-05-28,
Services,./city-of-london.csv,Telephone call charges (per minute),0.0089,273584.0,2015-12-31,
Services,./south-wales.csv,DNA test,17.00,1.0,2016-02-01,Ongoing purchases under the West Coast Consortium framework. Scientific Support unit is collaborative between South Wales and Gwent Police. The actual quantity purchased on this invoice is not known for this specific test. A monthly invoice is paid for the larger service provided by the supplier.
Services,./south-wales.csv,Toxicology test,28.15,1.0,2016-02-01,Information provided for item code 20Tox A1 under Lot 211 (toxicology). The actual quantity purchased is not known for this specific test. A monthly invoice is paid for the larger service provided by the supplier.
Services,./south-wales.csv,Mobile phone examination,360.00,1.0,2016-02-01,This cost is for a full examination and data extraction. Information on volumes purchased is not known for this specific test.
Services,./south-wales.csv,Forensic stain analysis,87.30,1.0,2016-02-01,The actual quantity purchased on the latest invoice is not known for this specific test.
Services,./south-wales.csv,Credit report or search,4.25,1.0,2016-02-01,Information provided for crime management & supplier evaluation reports. Volume purchased is not known for this specific service. A monthly invoice is paid for the total service provided by the supplier.
Services,./south-wales.csv,Temporary staff administrator role,12.16,,,The force has not hired temporary admin staff in the last 3 years due to an in-house staff bank scheme. The figures used are based on the collaborative framework that is available if required.
Services,./south-wales.csv,one-day car hire,18.50,1.0,2016-02-24,
Services,./south-wales.csv,30-day car hire,12.50,31.0,2016-01-05,
Services,./south-wales.csv,Ream of 500 sheets of white paper,1.58,1500.0,2016-02-15,A4 80gsm 1 ream 500 sheets.
Services,./south-wales.csv,Telephone interpreting inc. recording services (per minute),0.68,,2016-02-01,"Although the Metropolitan Police framework recently expired, the supplier has continued to provide the service at the agreed rate. Information on volumes not provided. The cost per minute is the same for 1 minute or 1 hour."
Services,./south-wales.csv,Face-to-face interpreting for 4 hours (half-day),120.00,,2016-02-01,The Welsh Interpretation and Translation Service providing the service is made up of a board of 21 public sector partners and run from Gwent Police. The actual quantity purchased on this invoice is not known for this specific service.
Services,./south-wales.csv,Standard office cleaning (force average per m2 per year),13.91,112439.0,2016-02-01,"The force does not pay for standard office cleaning per m2 as the cost is dependent on many factors such as frequency of clean, type of use (canteen, office, store etc) and what if any equipment is needed. A monthly bill for cleaning the force premises is monitored through a schedule of rates per building. The force's Estates department has calculated the average cost per m2 per annum taking all these considerations into account."
Services,./south-wales.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0188,2299015.0,2016-02-01,Information on volumes based on annual consumption.
Services,./south-wales.csv,Laptop purchase,371.95,30.0,2015-10-01,Standard specifications.
Services,./south-wales.csv,Desktop purchase,373.80,20.0,2015-04-12,Medium specifications
Services,./south-wales.csv,"PC monitor - 19"" or smaller (inc. cables)",73.00,50.0,2016-02-05,
Services,./south-wales.csv,"PC monitor - 21"" or wider (inc. cables)",,,,The force does not purchase monitors of this size.
Services,./south-wales.csv,Telephone call charges (per minute),0.0048,,2016-02-01,Time charged for this purchase is included in a wider basket of goods.
Services,./cheshire.csv,DNA test,17.00,142.0,2016-02-12,Information provided for Lot 201 = Police and Criminal Evidence Act DNA test; Lot 212 = £22.50; Lot 212 = £30.00.
Services,./cheshire.csv,Toxicology test,28.15,3.0,2016-02-12,Information provided for Lot 211 (toxicology).
Services,./cheshire.csv,Mobile phone examination,,,,Service is provided in-house. There is no third party supplier.
Services,./cheshire.csv,Forensic stain analysis,85.54,71.0,2016-02-12,"Information provided for Lot 202 = Crime Stain; Lot 203 = Other DNA tests which are purchased for £90.04 or £145, and Lot 212, £90.04 or £130.50, from different suppliers."
Services,./cheshire.csv,Credit report or search,4.25,13530.0,2015-11-10,Information on volumes is contracted quantity to be called off over a 12-monthly period.
Services,./cheshire.csv,Temporary staff administrator role,10.88,,2016-02-12,Vendor neutral arrangement.
Services,./cheshire.csv,one-day car hire,15.00,1.0,2016-02-05,Information provided for Skoda - Octavia SE TDI CR. Service purchased under a Cheshire Local Contract for Vehicle Hire. The procurement was conducted under an open procedure under EU Regs - CPA/SPU/474.
Services,./cheshire.csv,30-day car hire,12.00,29.0,2016-02-01,Information provided for Skoda - Octavia SE TDI CR hire. Service purchased under a Cheshire local contract for vehicle hire. The procurement was conducted under an open procedure under EU Regs - CPA/SPU/474.
Services,./cheshire.csv,Ream of 500 sheets of white paper,2.15,200.0,2016-02-11,40 cases per week (case=5 reams).
Services,./cheshire.csv,Telephone interpreting inc. recording services (per minute),0.66,28.0,2015-12-31,"Each transaction is only 1 call, therefore information provided on volumes is for the last service provided for a call of 28 minutes."
Services,./cheshire.csv,Face-to-face interpreting for 4 hours (half-day),124.00,208.0,2016-01-31,"Each transaction is only 1 assignment, so information provided for a month's worth of services purchased by the force - January 2016. The month involved 61 assignments."
Services,./cheshire.csv,Standard office cleaning (force average per m2 per year),,,2016-01-31,"Contract not based on surface/m2. Annual cost is £591,000 for an average cost of £0.028/m2/p.a. for standard office cleaning - not directly comparable with prices provided by most other forces (where based on m2 for this specific service)."
Services,./cheshire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",,,,"The force's headquarters is a Private Finance Initiative so the information requested is not available, as utilities are part of the unitary charge."
Services,./cheshire.csv,Laptop purchase,626.70,1.0,2015-10-22,Standard specifications. ThinkPad T440p includes - Lenovo Protection 3YR KYD - 20AWCTO1WW.
Services,./cheshire.csv,Desktop purchase,369.64,10.0,2015-11-26,Standard specifications Dell OptiPlex 7020 SFF - (SM004D7020SFF1H161) - Manu. Part#: 99285043
Services,./cheshire.csv,"PC monitor - 19"" or smaller (inc. cables)",117.09,1.0,2015-12-18,Standard specification. Dell Professional P1914S (19 - inch) LED backlit LCD monitor - 1000:1 250cd/m2 1280x1024 - 8ms
Services,./cheshire.csv,"PC monitor - 21"" or wider (inc. cables)",130.00,1.0,2015-09-03,"Dell monitor and wireless - mouse. The force does not purchase monitors of this size. Information provided for purchases of monitors size 22""."
Services,./cheshire.csv,Telephone call charges (per minute),0.0067,,,
Services,./lancashire.csv,DNA test,17.00,10.0,2016-02-07,Current specification included PED/CED samples.
Services,./lancashire.csv,Toxicology test,35.00,120.0,2016-02-05,Information provided for alcohol toxicology test only and does not include drug driving or alcohol technical defence.
Services,./lancashire.csv,Mobile phone examination,,,,Service provided in-house by Digital Media Investigation Unit.
Services,./lancashire.csv,Forensic stain analysis,85.54,6.0,2016-01-31,"The pricing point for the described item code does not include the swab preparation which is needed for all items, so in actual terms the cost is higher for the profile to be processed."
