Type,Force,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,dorset,Epaulettes,2.95,10,19/06/15,"Sliders, epaulettes å£3.25. Regional specification."
Equipment,dorset,Belt,3.27,,,Leather belts.
Equipment,dorset,Anorak/ waterproof jacket,79.2,25,17/02/15,Regional specification.
Equipment,dorset,Hi Visibility jacket,95,5,09/07/14,
Equipment,dorset,Cut resistant gloves,8.95,20,24/06/14,
Equipment,dorset,Boots,,,,Not bought. The force does not issue boots to patrol officers.
Equipment,dorset,Utility belt,4.22,30,27/06/14,Leather belts.
Equipment,dorset,General Patrol full body armour,224.03,5,20/05/15,Female body armours. Regional specification.
Equipment,dorset,General Patrol body armour vest,44,5,20/05/15,Regional specification.
Equipment,dorset,Standard Issue Handcuffs,16.95,10,05/03/13,Regional specification.
Equipment,dorset,Baton,52.2,25,21/01/13,
Equipment,dorset,Airwave radio (hand held),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,dorset,Airwave radio (vehicle),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,dorset,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,15595.7,10,30/04/15,"Inc. commissioning, delivery and registration."
Equipment,dorset,Compact High performance estate vehicle - fully converted,31057.7,1,14/01/15,Inc. towbar.
Equipment,dorset,Fully kitted cell van,23090.56,4,25/07/14,Ford transit exc. CCTV
Equipment,warwickshire,Custodian style Police Helmet,28.9,730,23/04/15,Joint purchase with West Mercia under West Midlands Police national headwear contract.
Equipment,warwickshire,Fleece,38.95,460,11/05/15,Joint purchase with West Mercia. The force aims to move to the Metropolitan Police Service contract when samples are approved to purchase the garment at a lower price.
Equipment,warwickshire,Trousers,9.2,30,25/08/15,"Polycotton trousers. Order date for joint purchase with West Mercia. Prices range from å£6.60 to å£9.20 depending on male, female, size (waist/length) specifications. The price quoted is for the largest quantity on order and for a particular waist/leg measurement for the male garment. The force previously purchased 2,265 male polywool trousers at å£18.20 with West Mercia, on 16/04/2015. Awaiting outcome of Yorkshire tender for future purchasing."
Equipment,warwickshire,Shirt,3.99,650,16/04/15,Under-armour shirts. Joint purchase with West Mercia. The force will be moving to the West Yorkshire Police contract to purchase the item at a lower price.
Equipment,warwickshire,Epaulettes,3.25,112,21/07/15,Epaulettes. Joint purchase with West Mercia. The force will be moving to the Metropolitan Police Service contract when samples are approved to purchase epaulettes at a lower price.
Equipment,warwickshire,Belt,3.3,50,23/07/15,Joint purchase with West Mercia. The force will be moving to the North Wales Police contract to purchase the item at a lower price.
Equipment,warwickshire,Anorak/ waterproof jacket,95.45,2500,16/12/14,3/4 length high visibility coat. Joint purchase with West Mercia. The force will be moving to the Metropolitan Police Service contract when samples are approved to purchase the item at a lower price.
Equipment,warwickshire,Hi Visibility jacket,69.95,500,11/05/15,Blousons. Joint purchase with West Mercia. The force will be moving to the Metropolitan Police Service contract when samples are approved to purchase the item at a lower price.
Equipment,warwickshire,Cut resistant gloves,,,,Not bought. The force does not issue cut resistant gloves to patrol officers.
Equipment,warwickshire,Boots,,,,Not bought. The force does not issue boots to patrol officers.
Equipment,warwickshire,Utility belt,4.22,170,22/05/15,Joint purchase with West Mercia. The force will be moving to the North Wales Police contract to purchase the item at a lower price.
Equipment,warwickshire,General Patrol full body armour,274.53,33,20/07/15,"Order date as the force is migrating to a new contract led by West Midlands Police as part of a uniform alignment exercise with West Mercia, via the Metropolitan Police Service national body armour framework agreement. Price includes the vest carrier for body armour plates at å£44.50."
Equipment,warwickshire,General Patrol body armour vest,85.8,5,01/10/14,Carriage system. Joint purchase with West Mercia via the Gloucestershire framework. The force also purchases the vest carrier for body armour plates at å£44.50 (included in the separate general patrol body armour price).
Equipment,warwickshire,Standard Issue Handcuffs,15.6,100,29/06/15,Joint purchase with West Mercia under the Metropolitan Police Service contract.
Equipment,warwickshire,Baton,53.48,750,16/07/15,Joint purchase with West Mercia under the Metropolitan Police Service contract.
Equipment,warwickshire,Airwave radio (hand held),390,51,13/02/15,"Joint purchase with West Mercia via the Metropolitan Police Service national framework. Price inc. extended helical antenna, batteries, click fast stud (å£459 in total)."
Equipment,warwickshire,Airwave radio (vehicle),650,5,21/05/15,Joint purchase with West Mercia via the Metropolitan Police Service national framework. Price inc. colour console (å£134).
Equipment,warwickshire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,15805.5,88,01/12/14,"Joint order with West Mercia via the previous national framework - 82 delivered to date. Vauxhall Astra, diesel and low emissions model. The force will be moving to the new vehicle purchase framework in 2015."
Equipment,warwickshire,Compact High performance estate vehicle - fully converted,28028.04,2,14/11/14,Joint purchase with West Mercia via previous national framework. BMW vehicles. The force will be moving to the new vehicle purchase framework in 2015.
Equipment,warwickshire,Fully kitted cell van,22969.36,36,01/12/14,Joint order with West Mercia via previous national framework. Vauxhall - only 9 delivered to date. The force will be moving to the new vehicle purchase framework in 2015.
Equipment,cambridgeshire,Custodian style Police Helmet,28.9,30,14/05/13,Joint purchase with Bedfordshire and Hertfordshire Exc. å£5.25 helmet plate. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Fleece,32.95,38,22/07/15,PCSO fleece. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Trousers,9.67,270,28/07/15,Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Shirt,4.25,2300,23/07/15,"Male shirts, female shirts å£3.95. Price varies with long sleeve, short sleeve and extra long fit specifications. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces."
Equipment,cambridgeshire,Epaulettes,2.96,4,24/07/15,The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Belt,3.27,410,22/07/15,Split leather waist belts with nickel buckles. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Anorak/ waterproof jacket,79.95,5,22/07/15,Police traffic jacket model purchased under the Metropolitan Police Service contract. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Hi Visibility jacket,53.9,125,03/07/15,High visibility carriers lightweight blousons. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Cut resistant gloves,9.7,650,22/04/15,"Male black lined leather gloves with cuffs, female gloves at å£9.40. Joint purchase with Bedfordshire and Hertfordshire. The force no longer issues officers with the gloves. The force makes all uniform purchases and operates central stores for all three forces."
Equipment,cambridgeshire,Boots,30.3,100,22/07/15,Order date for non-protective boots from North Wales framework - joint purchase with Bedfordshire and Hertfordshire. Most recent purchase price for a pair of protective boots for patrol (public order) is å£72.60. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Utility belt,10.25,100,28/07/15,Not supplied as standard. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,General Patrol full body armour,261.27,10,24/04/15,"Male armours, female armours å£218.24. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces."
Equipment,cambridgeshire,General Patrol body armour vest,84.93,60,15/07/15,Price depends on quantity ordered. Joint purchase with Bedfordshire and Hertfordshire. Appointment vest under review. Covert harness å£67. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Standard Issue Handcuffs,16.95,200,19/01/15,Rigid handcuffs. Joint purchase with Bedfordshire and Hertfordshire under the Metropolitan Police Service contract. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Baton,54.45,200,16/06/15,22'' autolock batons with power safety tip and caps attached as per the Metropolitan Police Service framework. Joint purchase with Bedfordshire and Hertfordshire. The force makes all uniform purchases and operates central stores for all three forces.
Equipment,cambridgeshire,Airwave radio (hand held),250,3,12/03/15,
Equipment,cambridgeshire,Airwave radio (vehicle),920,90,07/02/08,Unit price of each terminal.
Equipment,cambridgeshire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13296.2,6,30/12/14,"Hyundai New Generation. Inc. warning lights, livery, siren etc."
Equipment,cambridgeshire,Compact High performance estate vehicle - fully converted,,,,"Not bought. Standard large high performance estate BMW vehicle å£31,391.60 in June 2014. Inc. warning lights, livery, siren, delivery etc."
Equipment,cambridgeshire,Fully kitted cell van,21039.51,1,16/06/15,Vauxhall Vivaro purchased via Kent and Essex Police cell van framework.
Equipment,city-of-london,Custodian style Police Helmet,,,,Not bought. The force purchased 132 standard (not custodian) helmets at å£52.80 on 23/11/10. This stock has lasted longer than planned.
Equipment,city-of-london,Fleece,,,,Not bought. The force purchased (male/female) pullovers at å£43.90 in June-August 2010. This stock has lasted longer than planned. The force plans to replace this item of uniform with new style clothing in September 2015.
Equipment,city-of-london,Trousers,11.5,44,16/10/14,The force plans to replace this item of uniform with new style clothing in September 2015.
Equipment,city-of-london,Shirt,5.15,204,09/10/14,"Long-sleeved male shirts, long-sleeved female shirts å£4.83 on 14/08/14. The force plans to replace this item of uniform with new style clothing in September 2015."
Equipment,city-of-london,Epaulettes,1.51,50,09/06/15,
Equipment,city-of-london,Belt,4.4,160,09/01/14,Leather belts.
Equipment,city-of-london,Anorak/ waterproof jacket,85.5,26,23/06/14,The force plans to replace this item of uniform with new style clothing in September 2015.
Equipment,city-of-london,Hi Visibility jacket,22.24,120,08/06/14,"Long-sleeved high visibility jackets, short-sleeved high visibility jackets å£12.77."
Equipment,city-of-london,Cut resistant gloves,12.95,400,14/02/12,This stock has lasted longer than planned.
Equipment,city-of-london,Boots,72.6,17,07/04/15,
Equipment,city-of-london,Utility belt,4.65,60,02/03/14,
Equipment,city-of-london,General Patrol full body armour,371.3,12,07/07/15,"Male armours, female armours å£374.20."
Equipment,city-of-london,General Patrol body armour vest,,,,Not bought. The force does not issue this garment.
Equipment,city-of-london,Standard Issue Handcuffs,16.1,20,18/01/12,The force recycles handcuffs: returned then reissued.
Equipment,city-of-london,Baton,53.2,50,07/05/10,The force recycles batons: returned then reissued
Equipment,city-of-london,Airwave radio (hand held),500,1057,,Purchased in March 2011. Inc. warranty to March 2016. Covert radio å£950 in 2006 exc. repeater licence å£150.
Equipment,city-of-london,Airwave radio (vehicle),561,4,01/01/14,"Covert radio å£1,770 in 2006 exc. Installation å£831."
Equipment,city-of-london,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,10558.8,1,27/03/08,Vauxhall Astra purchased through framework agreement (DWP Motor Vehicle Purchase For the provision of: Motor Vehicles Framework Agreement).
Equipment,city-of-london,Compact High performance estate vehicle - fully converted,31724.64,1,28/01/13,BMW vehicle purchased via police framework through South and South Eastern Mini Competition Group.
Equipment,city-of-london,Fully kitted cell van,18714.31,1,23/12/11,Vauxhall Vivaro prisoner cell van purchased via police framework.
Equipment,south-wales,Custodian style Police Helmet,28.9,183,15/06/15,
Equipment,south-wales,Fleece,21.1,366,12/06/15,
Equipment,south-wales,Trousers,13.57,925,29/04/15,"Polycotton cargo male trousers, female trousers å£14.88."
Equipment,south-wales,Shirt,3.99,2080,12/05/15,
Equipment,south-wales,Epaulettes,3.82,1000,07/08/13,Price per pair.
Equipment,south-wales,Belt,3.27,270,17/02/15,
Equipment,south-wales,Anorak/ waterproof jacket,73.75,50,29/04/15,High visibility blouson
Equipment,south-wales,Hi Visibility jacket,,,,Not bought. The force does not issue high visibility jackets to beat officers.
Equipment,south-wales,Cut resistant gloves,13.25,55,21/07/15,
Equipment,south-wales,Boots,,,,"Not bought. The force does not issue boots to beat officers, only to specialist roles."
Equipment,south-wales,Utility belt,13.24,13,18/12/14,Lifetime durable and recyclable quality leather belts with sturdy buckle for re-use. No known failure with the force's choice of belt resulting in a replacement. Lower cost belts are available but not as durable.
Equipment,south-wales,General Patrol full body armour,190.24,2,09/07/15,"Female armours, male armours å£223.59."
Equipment,south-wales,General Patrol body armour vest,34.31,2,09/07/15,"Black cover male vests, black cover female vests å£33.79."
Equipment,south-wales,Standard Issue Handcuffs,17.95,300,01/10/14,Joint purchase with Gwent and Dyfed Powys. Price based on order volumes of 250-499.
Equipment,south-wales,Baton,22.99,200,,"26"" black friction lock batons last purchased in 2014."
Equipment,south-wales,Airwave radio (hand held),350,106,01/07/13,"Inc. encryption, colour display. Exc. antenna and battery."
Equipment,south-wales,Airwave radio (vehicle),,,,Not bought since June 2013. Records not accessible.
Equipment,south-wales,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13199,24,06/07/05,"Information given for last purchase of Ford Focus vehicles for July to October 2014, inc. conversion and livery costs."
Equipment,south-wales,Compact High performance estate vehicle - fully converted,29289.17,3,,"Information given for last purchased BMW vehicles for July to October 2014, inc. conversion and livery costs."
Equipment,south-wales,Fully kitted cell van,22848.22,13,,"Information given for last purchased Transit Custom vans for October 2014 to February 2015, inc. conversion and livery costs."
Equipment,cheshire,Custodian style Police Helmet,28.9,72,13/02/15,
Equipment,cheshire,Fleece,20.39,112,15/06/15,
Equipment,cheshire,Trousers,9.35,3376,15/06/15,
Equipment,cheshire,Shirt,5.1,745,11/05/15,"Short-sleeved shirts, long-sleeved shirts å£5.50."
Equipment,cheshire,Epaulettes,1.65,2000,12/05/15,
Equipment,cheshire,Belt,3.75,170,13/05/15,
Equipment,cheshire,Anorak/ waterproof jacket,,,,Not bought
Equipment,cheshire,Hi Visibility jacket,48.5,140,11/05/15,
Equipment,cheshire,Cut resistant gloves,13.95,150,12/03/15,
Equipment,cheshire,Boots,33.6,5,03/07/15,
Equipment,cheshire,Utility belt,7.31,50,12/03/15,
Equipment,cheshire,General Patrol full body armour,278.75,21,11/06/15,"Male armours, female armours å£229.75."
Equipment,cheshire,General Patrol body armour vest,49.82,4,19/06/15,"Female vests, male vests å£52.38."
Equipment,cheshire,Standard Issue Handcuffs,17.95,260,29/04/15,
Equipment,cheshire,Baton,23.49,100,29/04/15,
Equipment,cheshire,Airwave radio (hand held),243,2,26/04/14,
Equipment,cheshire,Airwave radio (vehicle),1000,50,01/11/12,Inc. ancillaries.
Equipment,cheshire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force last ordered 32 converted, but not 5-door hatchback, estate cars on 18/09/14 and costs per vehicle were å£13,333 exc. VAT."
Equipment,cheshire,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force ordered 6 larger converted vehicles at å£29,061.72 on 04/08/14."
Equipment,cheshire,Fully kitted cell van,26989.57,2,,Ordered in 2013/14.
Equipment,lancashire,Custodian style Police Helmet,32.12,24,05/06/15,Purchased via West Midlands national contract. Price inc. helmet plate.
Equipment,lancashire,Fleece,39.09,195,19/02/15,Male fleece purchased via Greater Manchester Police regional/national contract for modern/traditional uniforms.
Equipment,lancashire,Trousers,8.95,1270,17/02/15,Operational (cargo) trousers purchased via Greater Manchester Police regional/national contract for modern/traditional uniforms.
Equipment,lancashire,Shirt,4.25,1200,10/02/15,Male black mandarin collar short-sleeved shirts purchased via West Yorkshire national contract for all climate shirts.
Equipment,lancashire,Epaulettes,1.85,300,28/06/15,Male epaulettes purchased locally.
Equipment,lancashire,Belt,3.41,210,01/06/15,Standard leather belt for trousers purchased locally.
Equipment,lancashire,Anorak/ waterproof jacket,47.97,120,03/07/15,Black heavyweight jacket purchased via the regional high visibility/black anorak contract.
Equipment,lancashire,Hi Visibility jacket,67.71,35,03/07/15,High visibility heavyweight jacket purchased via the regional high visibility/black anorak contract.
Equipment,lancashire,Cut resistant gloves,12.95,120,11/05/15,Purchased via Cheshire national contract.
Equipment,lancashire,Boots,72.6,165,08/04/15,"Dual purpose boots for use as public order boots which also meet violent situation standards and are flameproof, purchased via the North Wales national footwear contract. "
Equipment,lancashire,Utility belt,10.6,100,12/05/15,Leather style belt purchased via the North Wales framework contract for leather goods.
Equipment,lancashire,General Patrol full body armour,281.85,100,15/06/15,Overt style male armours purchased via the Metropolitan Police Service regional/national contract. Prices can vary subject to order volumes.
Equipment,lancashire,General Patrol body armour vest,67,300,24/07/15,Black male overt style armour cover purchased via the Metropolitan Police Service regional-national contract. Prices can vary subject to order volumes.
Equipment,lancashire,Standard Issue Handcuffs,16.95,100,24/02/15,"Purchased via the Metropolitan Police Service national framework contract, inc. a long key."
Equipment,lancashire,Baton,23.49,300,24/02/15,Batons with a holder purchased via the Metropolitan Police Service national framework contract.
Equipment,lancashire,Airwave radio (hand held),,,,Last purchased by the force in 2009. The force recycles them for re-use. No further information available at the time of publication.
Equipment,lancashire,Airwave radio (vehicle),,,,Last purchased by the force in 2009. The force recycles them for re-use. No further information available at the time of publication.
Equipment,lancashire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force operates estates cars, which are not converted hatchback vehicles, last purchased for å£13,700 on 01/03/15."
Equipment,lancashire,Compact High performance estate vehicle - fully converted,27414,1,01/02/10,The force last purchased a high performance traffic car in 2010.
Equipment,lancashire,Fully kitted cell van,17929,1,01/03/15,The force does not purchase fully converted cell vans. The price quoted covers the supply of the base van and the conversion at a local convertor.
Equipment,gloucestershire,Custodian style Police Helmet,28.9,80,01/06/15,National specification.
Equipment,gloucestershire,Fleece,21.1,20,10/04/15,National specification.
Equipment,gloucestershire,Trousers,13.57,40,02/07/15,Male trousers.
Equipment,gloucestershire,Shirt,4.05,310,21/05/15,Male short-sleeved black wicking shirts.
Equipment,gloucestershire,Epaulettes,3.67,238,23/07/15,Male black sliders.
Equipment,gloucestershire,Belt,3.27,80,21/04/15,Leather belts.
Equipment,gloucestershire,Anorak/ waterproof jacket,98.5,41,21/04/15,
Equipment,gloucestershire,Hi Visibility jacket,78.45,20,17/04/15,
Equipment,gloucestershire,Cut resistant gloves,13.25,90,19/03/15,
Equipment,gloucestershire,Boots,,,,Not bought. The force does not issue boots to response officers.
Equipment,gloucestershire,Utility belt,4.25,30,08/01/14,"The force usually issues vests as default, instead of equipment belts."
Equipment,gloucestershire,General Patrol full body armour,257.9,4,11/05/15,Male armours.
Equipment,gloucestershire,General Patrol body armour vest,79.44,70,01/06/15,
Equipment,gloucestershire,Standard Issue Handcuffs,16.95,50,24/12/14,
Equipment,gloucestershire,Baton,36.5,60,11/12/08,There is a low order rate because the force issues batons for re-use.
Equipment,gloucestershire,Airwave radio (hand held),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,gloucestershire,Airwave radio (vehicle),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,gloucestershire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14300.66,4,01/06/14,"Inc. commissioning, delivery and registration."
Equipment,gloucestershire,Compact High performance estate vehicle - fully converted,30524.83,2,03/03/14,BMW vehicle inc. commissioning.
Equipment,gloucestershire,Fully kitted cell van,29644,6,01/09/13,"Mercedes-Benz Vito van. The force plans to purchase Ford Transit next, in line with the region."
Equipment,durham,Custodian style Police Helmet,28.9,40,29/05/15,
Equipment,durham,Fleece,20.39,221,08/07/15,
Equipment,durham,Trousers,8.95,2160,26/03/15,
Equipment,durham,Shirt,7.5,4080,20/09/13,
Equipment,durham,Epaulettes,1.26,200,18/03/15,"Sliders, not epaulettes, as the force now issues wicking shirts and only high-ranking officers still wear white shirts."
Equipment,durham,Belt,3.27,210,29/06/15,
Equipment,durham,Anorak/ waterproof jacket,,,,Not bought.
Equipment,durham,Hi Visibility jacket,89.95,166,23/02/15,
Equipment,durham,Cut resistant gloves,13.95,80,05/06/15,"Standard issue leather gloves in the force, information on the glove being cut resistant is not available at this time."
Equipment,durham,Boots,30.3,30,25/07/15,"High leg boots, low leg boots å£33.60."
Equipment,durham,Utility belt,6.25,30,25/07/12,The force no longer purchases equipment belts because it now issues body armours which hold appointments.
Equipment,durham,General Patrol full body armour,335.15,11,09/06/15,"Price of new armour. Cost may be higher than other forces due to very low volumes purchased and Durham is not signed up to a contract for body armour. It is extremely rare that the force requires to purchase new plates due to our refurbishment of plates (å£50), the quantities that we have in stock and the issue of body armour to officers for re-use following staff departures."
Equipment,durham,General Patrol body armour vest,65,14,09/06/15,
Equipment,durham,Standard Issue Handcuffs,16.95,100,09/05/15,
Equipment,durham,Baton,37.96,20,29/09/10,
Equipment,durham,Airwave radio (hand held),440,150,03/03/15,Fixed desk mount unit.
Equipment,durham,Airwave radio (vehicle),475,10,29/05/15,Remote mount mobile terminal.
Equipment,durham,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14263.46,10,04/03/15,
Equipment,durham,Compact High performance estate vehicle - fully converted,23737.46,3,03/04/15,"Lowest unit price for one out of the three vehicles (BMW): the other two vehicles cost å£23,737.46 and å£29,086.11."
Equipment,durham,Fully kitted cell van,21549.95,10,03/04/15,
Equipment,humberside,Custodian style Police Helmet,43.2,127,30/01/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Fleece,20.39,214,30/01/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Trousers,7.83,4932,09/08/13,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Shirt,4.05,450,29/05/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Epaulettes,2.8,90,10/07/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Belt,3.8,230,10/07/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Anorak/ waterproof jacket,85.75,22,30/01/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Hi Visibility jacket,62.75,88,30/01/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Cut resistant gloves,12.95,155,10/07/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Boots,,,,Not bought.
Equipment,humberside,Utility belt,4.5,160,10/07/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,General Patrol full body armour,254.1,18,22/04/15,Same price for male and female armours. Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,General Patrol body armour vest,60.2,845,10/07/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Standard Issue Handcuffs,16.95,100,26/06/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Baton,23.49,200,05/03/15,Most recent order date for bulk purchase jointly with South and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces.
Equipment,humberside,Airwave radio (hand held),350,300,31/03/15," Joint purchase with South Yorkshire Police. Total cost per set å£391 inc. battery, antenna and case."
Equipment,humberside,Airwave radio (vehicle),,,,Not purchased for over three years. Information is not available at this time.
Equipment,humberside,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14975.11,2,05/12/14,Vauxhall Astra. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
Equipment,humberside,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force purchased three large standard high performance vehicles å£31,104.26 on 14/08/14 with conversion carried out by West Yorkshire Police. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015."
Equipment,humberside,Fully kitted cell van,19556.35,2,13/11/14,Conversion carried out by West Yorkshire Police. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
Equipment,thames-valley,Custodian style Police Helmet,,,,Not bought. The force does not issue custodian helmets.
Equipment,thames-valley,Fleece,21.1,85,15/07/15,Soft shell fleece.
Equipment,thames-valley,Trousers,8.95,5013,09/05/15,Cargo trousers. One year's order volume.
Equipment,thames-valley,Shirt,4.4,2240,22/07/15,"All climate, black wicking shirts."
Equipment,thames-valley,Epaulettes,2.22,500,17/04/15,Small black epaulettes.
Equipment,thames-valley,Belt,3.5,241,10/07/15,Leather belts.
Equipment,thames-valley,Anorak/ waterproof jacket,,,,"Not bought. Anoraks å£71.80 are not issued to response officers, only for road policing."
Equipment,thames-valley,Hi Visibility jacket,74.95,83,16/03/15,Waterproof blousons.
Equipment,thames-valley,Cut resistant gloves,,,,Not bought. The force issues leather gloves.
Equipment,thames-valley,Boots,,,,Not bought. The force does not issue boots to general patrol officers.
Equipment,thames-valley,Utility belt,8.2,50,10/07/15,2'' leather belts.
Equipment,thames-valley,General Patrol full body armour,226.16,15,23/07/15,"Male armours, female armours å£179.33."
Equipment,thames-valley,General Patrol body armour vest,42.22,15,23/07/15,"Male vests, female vests å£40.09."
Equipment,thames-valley,Standard Issue Handcuffs,18.35,200,15/07/15,
Equipment,thames-valley,Baton,53.97,100,19/01/15,Autolock 21'' batons.
Equipment,thames-valley,Airwave radio (hand held),330,750,20/02/15,
Equipment,thames-valley,Airwave radio (vehicle),370,500,18/03/14,"Exc. console. Force purchase through a consortium framework with Bedfordshire, Cambridgeshire and Hertfordshire and Thames Valley Police in 2003. Prices have reduced significantly over the years. "
Equipment,thames-valley,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13473,10,15/07/15,"General purpose response vehicle inc. warning lights, livery, siren, delivery etc."
Equipment,thames-valley,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force operates standard large high performance estate vehicles for road policing, å£26,540.00 on 22/07/15 inc. warning lights, livery, siren, delivery etc."
Equipment,thames-valley,Fully kitted cell van,20805,5,12/11/14,"Inc. warning lights, livery, siren, delivery etc."
Equipment,lincolnshire,Custodian style Police Helmet,28.9,172,01/01/15,Purchased via the West Midlands national contract.
Equipment,lincolnshire,Fleece,32.95,90,01/06/15,
Equipment,lincolnshire,Trousers,8.95,4155,01/06/15,"Male and female trousers purchased via the Greater Manchester Police contract. Volumes indicate the balance from the end of contract, rather than usual purchases by the force."
Equipment,lincolnshire,Shirt,9.95,500,01/06/15,Details have been entered for the force's previous supplier. The force is moving to the West Yorkshire Police national framework for climate (wicking) shirts from August 2015.
Equipment,lincolnshire,Epaulettes,1.85,300,01/03/15,"Black epaulettes only, exc. embroidered sliders, purchased via the Leicestershire contract."
Equipment,lincolnshire,Belt,4.43,210,01/04/15,
Equipment,lincolnshire,Anorak/ waterproof jacket,96.95,50,01/08/15,High visibility jackets - model 9 - purchased from Devon & Cornwall framework.
Equipment,lincolnshire,Hi Visibility jacket,16.1,105,01/07/13,Lightweight high visibility jackets.
Equipment,lincolnshire,Cut resistant gloves,,,,Not bought.
Equipment,lincolnshire,Boots,,,,"Not bought. The force does not issue boots as standard. Boots are only issued to specialist function officers (firearms, dog handlers etc)."
Equipment,lincolnshire,Utility belt,6.42,300,01/03/15,
Equipment,lincolnshire,General Patrol full body armour,342.33,18,01/07/12,Last new purchase of female body armour sets with male body armour sets at å£393.06 via the West Midlands contract. The force mainly re-uses armour panels and only purchases replacement covers at about å£74.40 subject to order volumes.
Equipment,lincolnshire,General Patrol body armour vest,,,,Not bought. Replacement armour covers are purchased at about å£74.40 subject to order volumes.
Equipment,lincolnshire,Standard Issue Handcuffs,16.95,200,01/05/14,
Equipment,lincolnshire,Baton,55.91,100,01/11/14,Purchased via the Metropolitan Police Service framework. Inc. laser etched numbering.
